"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"17","March",2003,"Comunidad de Madrid","Partner","65-74 years","65-74 years","Unknown","Yes"
"18","March",2003,"Región de Murcia","Partner","21-30 years","Unknown","Unknown","Yes"
"19","April",2003,"Canarias","Partner","21-30 years","21-30 years","Unknown","Yes"
"20","April",2003,"Cataluña","Partner","41-50 years","Unknown","Unknown","Yes"
"21","April",2003,"Comunidad Valenciana","Partner","Unknown","Unknown","Unknown","Yes"
"22","April",2003,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Unknown","Yes"
"23","April",2003,"Comunidad Foral de Navarra","Partner","31-40 years","41-50 years","Unknown","Yes"
"24","May",2003,"Aragón","Partner","21-30 years","Unknown","Unknown","Yes"
"25","May",2003,"Castilla - La Mancha","Partner","41-50 years","Unknown","Unknown","Yes"
"26","May",2003,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"27","May",2003,"Cataluña","Ex-partner","41-50 years","Unknown","Unknown","No"
"28","May",2003,"Comunidad Valenciana","Partner","21-30 years","Unknown","Unknown","Yes"
"29","May",2003,"Galicia","Partner","31-40 years","Unknown","Unknown","Yes"
"30","June",2003,"Aragón","Partner","31-40 years","Unknown","Unknown","Yes"
"31","June",2003,"Principado de Asturias","Partner","Unknown","Unknown","Unknown","Yes"
"32","June",2003,"Castilla y León","Ex-partner","41-50 years","Unknown","Unknown","No"
"33","June",2003,"Cataluña","Ex-partner","51-64 years","41-50 years","Unknown","No"
"34","June",2003,"Cataluña","Partner","65-74 years","65-74 years","Unknown","Yes"
"35","June",2003,"Galicia","Partner","31-40 years","31-40 years","Unknown","Yes"
"36","June",2003,"Región de Murcia","Partner","31-40 years","Unknown","Unknown","Yes"
"37","June",2003,"Ceuta","Partner","31-40 years","31-40 years","Unknown","Yes"
"38","July",2003,"Islas Baleares","Partner","41-50 years","Unknown","Unknown","Yes"
"39","July",2003,"Cantabria","Partner","31-40 years","31-40 years","Unknown","Yes"
"40","July",2003,"Castilla - La Mancha","Partner","21-30 years","Unknown","Unknown","Yes"
"41","July",2003,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"42","July",2003,"Cataluña","Partner","Unknown","31-40 years","Unknown","Yes"
"43","July",2003,"Comunidad Valenciana","Partner","Unknown","Unknown","Unknown","Yes"
"44","July",2003,"Galicia","Ex-partner","31-40 years","Unknown","Unknown","No"
"45","July",2003,"Comunidad de Madrid","Partner","41-50 years","Unknown","Unknown","Yes"
"46","August",2003,"Islas Baleares","Partner","51-64 years","51-64 years","Unknown","Yes"
"47","August",2003,"Islas Baleares","Partner","51-64 years","Unknown","Unknown","Yes"
"48","August",2003,"Canarias","Partner","31-40 years","31-40 years","Unknown","Yes"
"49","August",2003,"Canarias","Partner","Unknown","Unknown","Unknown","Yes"
"50","August",2003,"Castilla y León","Partner","65-74 years","Unknown","Unknown","Yes"
"51","August",2003,"Cataluña","Ex-partner","31-40 years","Unknown","Unknown","No"
"52","August",2003,"Comunidad Valenciana","Ex-partner","18-20 years","Unknown","Unknown","No"
"53","August",2003,"Comunidad de Madrid","Partner","41-50 years","51-64 years","Unknown","Yes"
"54","September",2003,"Andalucía","Partner",">85 years",">85 years","Unknown","Yes"
"55","September",2003,"Andalucía","Partner","41-50 years","41-50 years","Unknown","Yes"
"56","September",2003,"Principado de Asturias","Ex-partner","21-30 years","Unknown","Unknown","No"
"57","September",2003,"Comunidad Valenciana","Ex-partner","21-30 years","31-40 years","Unknown","No"
"58","October",2003,"Extremadura","Partner","31-40 years","31-40 years","Unknown","Yes"
"59","October",2003,"Región de Murcia","Partner","21-30 years","Unknown","Unknown","Yes"
"60","November",2003,"Andalucía","Ex-partner","21-30 years","Unknown","Unknown","No"
"61","November",2003,"Andalucía","Partner","41-50 years","51-64 years","Unknown","Yes"
"62","November",2003,"Andalucía","Partner","31-40 years","Unknown","Unknown","Yes"
"63","November",2003,"Andalucía","Partner","31-40 years","41-50 years","Unknown","Yes"
"64","November",2003,"Islas Baleares","Partner","31-40 years","Unknown","Unknown","Yes"
"65","November",2003,"Canarias","Ex-partner","41-50 years","51-64 years","Unknown","No"
"66","November",2003,"Castilla y León","Ex-partner","51-64 years","Unknown","Unknown","No"
"67","November",2003,"Castilla y León","Partner","41-50 years","41-50 years","Unknown","Yes"
"68","November",2003,"Comunidad Valenciana","Partner","41-50 years","51-64 years","Unknown","Yes"
"69","December",2003,"Canarias","Ex-partner","31-40 years","41-50 years","Unknown","No"
"70","December",2003,"Comunidad de Madrid","Partner","21-30 years","41-50 years","Unknown","Yes"
"71","December",2003,"Comunidad de Madrid","Partner","31-40 years","41-50 years","Unknown","Yes"
"72","January",2004,"Islas Baleares","Ex-partner","31-40 years","41-50 years","Unknown","No"
"73","January",2004,"Extremadura","Partner","75-84 years","75-84 years","Unknown","Yes"
"74","February",2004,"Andalucía","Partner","21-30 years","21-30 years","Unknown","Yes"
"75","February",2004,"Andalucía","Partner","75-84 years","Unknown","Unknown","Yes"
"76","February",2004,"Islas Baleares","Partner","31-40 years","21-30 years","Unknown","Yes"
"77","February",2004,"Comunidad de Madrid","Partner","21-30 years","31-40 years","Unknown","Yes"
"78","February",2004,"País Vasco","Partner","31-40 years","31-40 years","Unknown","Yes"
"79","March",2004,"Andalucía","Partner","21-30 years","31-40 years","Unknown","Yes"
"80","March",2004,"Andalucía","Ex-partner","31-40 years","31-40 years","Unknown","No"
"81","March",2004,"Andalucía","Partner","41-50 years","Unknown","Unknown","Yes"
"82","March",2004,"Aragón","Partner","21-30 years","21-30 years","Unknown","Yes"
"83","March",2004,"Canarias","Partner","51-64 years","65-74 years","Unknown","Yes"
"84","March",2004,"Cataluña","Partner","31-40 years","31-40 years","Unknown","Yes"
"85","April",2004,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"86","April",2004,"Andalucía","Partner","21-30 years","31-40 years","Unknown","Yes"
"87","April",2004,"Castilla - La Mancha","Partner","Unknown","Unknown","Unknown","Yes"
"88","April",2004,"Comunidad Valenciana","Ex-partner","Unknown","41-50 years","Unknown","No"
"89","April",2004,"Comunidad de Madrid","Partner","41-50 years","41-50 years","Unknown","Yes"
"90","April",2004,"Comunidad de Madrid","Partner","51-64 years","Unknown","Unknown","Yes"
"91","May",2004,"Andalucía","Partner","18-20 years","21-30 years","Unknown","No"
"92","May",2004,"Andalucía","Ex-partner","18-20 years","21-30 years","Unknown","No"
"93","May",2004,"Aragón","Partner","51-64 years","65-74 years","Unknown","Yes"
"94","May",2004,"Castilla y León","Partner","75-84 years","75-84 years","Unknown","Yes"
"95","May",2004,"Castilla - La Mancha","Partner","21-30 years","Unknown","Unknown","Yes"
"96","May",2004,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"97","May",2004,"Cataluña","Partner","<16 years","18-20 years","Unknown","No"
"98","May",2004,"Comunidad Valenciana","Partner","51-64 years","51-64 years","Unknown","Yes"
"99","June",2004,"Andalucía","Partner","41-50 years","Unknown","Unknown","Yes"
"100","June",2004,"Andalucía","Partner","51-64 years","65-74 years","Unknown","Yes"
"101","June",2004,"Comunidad Valenciana","Ex-partner","18-20 years","21-30 years","Unknown","No"
"102","June",2004,"Comunidad Valenciana","Partner","65-74 years","65-74 years","Unknown","Yes"
"103","June",2004,"Comunidad Valenciana","Partner","65-74 years","Unknown","Unknown","Yes"
"104","June",2004,"Comunidad Foral de Navarra","Ex-partner","51-64 years","65-74 years","Unknown","No"
"105","July",2004,"Andalucía","Ex-partner","31-40 years","41-50 years","Unknown","No"
"106","July",2004,"Andalucía","Partner","31-40 years","31-40 years","Unknown","Yes"
"107","July",2004,"Canarias","Partner","31-40 years","Unknown","Unknown","Yes"
"108","July",2004,"Cataluña","Ex-partner","41-50 years","41-50 years","Unknown","No"
"109","July",2004,"Comunidad de Madrid","Partner","65-74 years","75-84 years","Unknown","Yes"
"110","July",2004,"Región de Murcia","Partner","<16 years","18-20 years","Unknown","No"
"111","July",2004,"Región de Murcia","Partner","31-40 years","31-40 years","Unknown","Yes"
"112","August",2004,"Andalucía","Ex-partner","41-50 years","Unknown","Unknown","No"
"113","August",2004,"Cantabria","Partner","31-40 years","31-40 years","Unknown","Yes"
"114","August",2004,"Castilla - La Mancha","Ex-partner","31-40 years","41-50 years","Unknown","No"
"115","August",2004,"Cataluña","Partner","51-64 years","51-64 years","Unknown","Yes"
"116","August",2004,"Comunidad Valenciana","Partner","31-40 years","Unknown","Unknown","Yes"
"117","August",2004,"Comunidad de Madrid","Partner","21-30 years","31-40 years","Unknown","No"
"118","September",2004,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"119","September",2004,"Cantabria","Ex-partner","31-40 years","31-40 years","Unknown","No"
"120","September",2004,"Castilla y León","Partner","31-40 years","31-40 years","Unknown","Yes"
"121","September",2004,"Cataluña","Ex-partner","Unknown","Unknown","Unknown","No"
"122","September",2004,"Cataluña","Partner","18-20 years","21-30 years","Unknown","Yes"
"123","September",2004,"Cataluña","Partner",">85 years",">85 years","Unknown","Yes"
"124","September",2004,"País Vasco","Ex-partner","21-30 years","21-30 years","Unknown","No"
"125","October",2004,"Andalucía","Ex-partner","31-40 years","Unknown","Unknown","No"
"126","October",2004,"Andalucía","Partner","31-40 years","21-30 years","Unknown","No"
"127","October",2004,"Andalucía","Partner","51-64 years","51-64 years","Unknown","Yes"
"128","October",2004,"Cataluña","Partner","<16 years","31-40 years","Unknown","No"
"129","October",2004,"Comunidad Valenciana","Partner","41-50 years","21-30 years","Unknown","Yes"
"130","October",2004,"Región de Murcia","Partner","41-50 years","41-50 years","Unknown","Yes"
"131","October",2004,"La Rioja","Partner","65-74 years","65-74 years","Unknown","Yes"
"132","November",2004,"Andalucía","Partner","18-20 years","21-30 years","Unknown","Yes"
"133","November",2004,"Comunidad Valenciana","Partner","51-64 years","Unknown","Unknown","Yes"
"134","November",2004,"Comunidad Valenciana","Ex-partner","41-50 years","Unknown","Unknown","No"
"135","November",2004,"País Vasco","Ex-partner","Unknown","16-17 years","Unknown","No"
"136","December",2004,"Castilla - La Mancha","Partner","Unknown","21-30 years","Unknown","Yes"
"137","December",2004,"Cataluña","Partner","31-40 years","Unknown","Unknown","Yes"
"138","December",2004,"Cataluña","Partner","51-64 years","Unknown","Unknown","Yes"
"139","December",2004,"Extremadura","Partner","75-84 years","75-84 years","Unknown","Yes"
"140","December",2004,"Galicia","Partner","31-40 years","Unknown","Unknown","No"
"141","December",2004,"Galicia","Partner","Unknown","Unknown","Unknown","Yes"
"142","December",2004,"Región de Murcia","Partner","Unknown","Unknown","Unknown","No"
"143","December",2004,"País Vasco","Partner","51-64 years","51-64 years","Unknown","Yes"
"144","January",2005,"Andalucía","Partner","21-30 years","21-30 years","Unknown","Yes"
"145","January",2005,"Aragón","Partner","75-84 years","Unknown","Unknown","Yes"
"146","January",2005,"Islas Baleares","Partner","21-30 years","21-30 years","Unknown","No"
"147","January",2005,"Castilla - La Mancha","Ex-partner","51-64 years","51-64 years","Unknown","No"
"148","January",2005,"Región de Murcia","Ex-partner","41-50 years","Unknown","Unknown","No"
"149","January",2005,"País Vasco","Ex-partner","31-40 years","Unknown","Unknown","No"
"150","February",2005,"Andalucía","Ex-partner","21-30 years","21-30 years","Unknown","No"
"151","February",2005,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"152","February",2005,"Comunidad Valenciana","Ex-partner","21-30 years","21-30 years","Unknown","No"
"153","February",2005,"Región de Murcia","Partner","31-40 years","Unknown","Unknown","Yes"
"154","February",2005,"Comunidad Foral de Navarra","Ex-partner","21-30 years","21-30 years","Unknown","No"
"155","March",2005,"Andalucía","Partner","18-20 years","21-30 years","Unknown","Yes"
"156","March",2005,"Islas Baleares","Partner","65-74 years","65-74 years","Unknown","Yes"
"157","March",2005,"Comunidad de Madrid","Partner","Unknown","Unknown","Unknown","Yes"
"158","April",2005,"Andalucía","Partner","21-30 years","21-30 years","Unknown","Yes"
"159","April",2005,"Canarias","Partner","21-30 years","31-40 years","Unknown","Yes"
"160","April",2005,"Castilla y León","Partner","31-40 years","Unknown","Unknown","Yes"
"161","April",2005,"Cataluña","Partner","51-64 years","Unknown","Unknown","Yes"
"162","April",2005,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Unknown","Yes"
"163","May",2005,"Aragón","Partner","65-74 years","Unknown","Unknown","Yes"
"164","May",2005,"Canarias","Ex-partner","41-50 years","41-50 years","Unknown","No"
"165","May",2005,"Castilla y León","Partner","21-30 years","Unknown","Unknown","No"
"166","May",2005,"Cataluña","Ex-partner","21-30 years","31-40 years","Unknown","No"
"167","June",2005,"Canarias","Partner","41-50 years","41-50 years","Unknown","Yes"
"168","June",2005,"Castilla - La Mancha","Partner","75-84 years","75-84 years","Unknown","Yes"
"169","June",2005,"Cataluña","Partner","41-50 years","51-64 years","Unknown","Yes"
"170","June",2005,"Comunidad Valenciana","Partner","65-74 years","Unknown","Unknown","Yes"
"171","June",2005,"Comunidad de Madrid","Partner","31-40 years","31-40 years","Unknown","Yes"
"172","June",2005,"Comunidad Foral de Navarra","Partner","31-40 years","31-40 years","Unknown","Yes"
"173","July",2005,"Aragón","Partner","65-74 years","65-74 years","Unknown","Yes"
"174","July",2005,"Cataluña","Partner","51-64 years","Unknown","Unknown","Yes"
"175","July",2005,"Comunidad de Madrid","Ex-partner","31-40 years","21-30 years","Unknown","No"
"176","July",2005,"Comunidad de Madrid","Partner","31-40 years","31-40 years","Unknown","Yes"
"177","August",2005,"Principado de Asturias","Partner","21-30 years","21-30 years","Unknown","No"
"178","August",2005,"Islas Baleares","Partner","41-50 years","31-40 years","Unknown","Yes"
"179","August",2005,"Islas Baleares","Partner","41-50 years","41-50 years","Unknown","Yes"
"180","August",2005,"Castilla y León","Partner","31-40 years","41-50 years","Unknown","Yes"
"181","August",2005,"Comunidad Valenciana","Partner","Unknown","Unknown","Unknown","Yes"
"182","August",2005,"Comunidad Valenciana","Partner","21-30 years","21-30 years","Unknown","No"
"183","September",2005,"Andalucía","Partner","18-20 years","Unknown","Unknown","No"
"184","September",2005,"Andalucía","Partner","75-84 years","75-84 years","Unknown","Yes"
"185","September",2005,"Canarias","Ex-partner","31-40 years","41-50 years","Unknown","No"
"186","September",2005,"Castilla y León","Partner","16-17 years","31-40 years","Unknown","No"
"187","October",2005,"Canarias","Ex-partner","18-20 years","21-30 years","Unknown","No"
"188","October",2005,"Cataluña","Ex-partner","41-50 years","51-64 years","Unknown","No"
"189","October",2005,"Cataluña","Ex-partner","41-50 years","41-50 years","Unknown","No"
"190","October",2005,"País Vasco","Ex-partner","21-30 years","21-30 years","Unknown","No"
"191","October",2005,"País Vasco","Partner","31-40 years","41-50 years","Unknown","Yes"
"192","November",2005,"Aragón","Partner","75-84 years","Unknown","Unknown","Yes"
"193","November",2005,"Canarias","Partner","41-50 years","41-50 years","Unknown","Yes"
"194","November",2005,"Cataluña","Ex-partner","21-30 years","Unknown","Unknown","No"
"195","November",2005,"Cataluña","Partner","41-50 years","Unknown","Unknown","Yes"
"196","November",2005,"Comunidad Valenciana","Partner","31-40 years","41-50 years","Unknown","Yes"
"197","November",2005,"Galicia","Partner","75-84 years","65-74 years","Unknown","Yes"
"198","December",2005,"Andalucía","Partner","31-40 years","Unknown","Unknown","Yes"
"199","December",2005,"Andalucía","Partner","18-20 years","21-30 years","Unknown","Yes"
"200","December",2005,"Melilla","Partner","31-40 years","41-50 years","Unknown","Yes"
"201","January",2006,"Andalucía","Partner","41-50 years","31-40 years","No","Yes"
"202","January",2006,"Andalucía","Ex-partner","31-40 years","41-50 years","Yes","No"
"203","January",2006,"Andalucía","Ex-partner","21-30 years","Unknown","No","No"
"204","January",2006,"Andalucía","Partner","31-40 years","41-50 years","Yes","Yes"
"205","January",2006,"Aragón","Ex-partner","31-40 years","31-40 years","No","No"
"206","January",2006,"Islas Baleares","Ex-partner","21-30 years","41-50 years","No","No"
"207","January",2006,"Comunidad de Madrid","Partner","31-40 years","31-40 years","No","Yes"
"208","January",2006,"Región de Murcia","Ex-partner","21-30 years","21-30 years","Yes","No"
"209","January",2006,"País Vasco","Partner","31-40 years","31-40 years","Yes","Yes"
"210","February",2006,"Andalucía","Partner","31-40 years","31-40 years","No","Yes"
"211","February",2006,"Cataluña","Ex-partner","21-30 years","18-20 years","No","No"
"212","February",2006,"Cataluña","Partner","51-64 years","31-40 years","No","Yes"
"213","February",2006,"Comunidad de Madrid","Partner","31-40 years","31-40 years","Yes","Yes"
"214","March",2006,"Principado de Asturias","Partner","21-30 years","31-40 years","Yes","Yes"
"215","March",2006,"Castilla y León","Ex-partner","41-50 years","Unknown","No","No"
"216","March",2006,"Castilla - La Mancha","Partner","65-74 years","65-74 years","No","Yes"
"217","March",2006,"Cataluña","Ex-partner","31-40 years","31-40 years","No","No"
"218","March",2006,"Cataluña","Partner","31-40 years","31-40 years","Yes","Yes"
"219","March",2006,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Yes","Yes"
"220","March",2006,"Comunidad Valenciana","Partner","31-40 years","31-40 years","Yes","Yes"
"221","March",2006,"Comunidad de Madrid","Partner","65-74 years","65-74 years","Yes","Yes"
"222","March",2006,"Región de Murcia","Partner","51-64 years","65-74 years","No","Yes"
"223","April",2006,"Andalucía","Ex-partner","31-40 years","31-40 years","No","No"
"224","April",2006,"Andalucía","Partner","65-74 years","Unknown","No","Yes"
"225","April",2006,"Canarias","Partner","65-74 years",">85 years","No","Yes"
"226","April",2006,"Castilla y León","Partner","31-40 years","31-40 years","No","No"
"227","April",2006,"Comunidad Valenciana","Partner","41-50 years","51-64 years","No","Yes"
"228","May",2006,"Canarias","Ex-partner","41-50 years","51-64 years","Yes","No"
"229","May",2006,"Cataluña","Partner","31-40 years","31-40 years","Yes","Yes"
"230","May",2006,"Extremadura","Ex-partner","31-40 years","21-30 years","No","No"
"231","May",2006,"Comunidad de Madrid","Partner","31-40 years","51-64 years","No","Yes"
"232","May",2006,"País Vasco","Partner","31-40 years","31-40 years","No","Yes"
"233","June",2006,"Andalucía","Ex-partner","31-40 years","Unknown","Yes","No"
"234","June",2006,"Región de Murcia","Partner","65-74 years","65-74 years","No","Yes"
"235","July",2006,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"236","July",2006,"Principado de Asturias","Ex-partner","21-30 years","41-50 years","No","No"
"237","July",2006,"Islas Baleares","Partner","51-64 years","65-74 years","No","Yes"
"238","July",2006,"Castilla y León","Partner","21-30 years","Unknown","No","No"
"239","July",2006,"Castilla - La Mancha","Partner","31-40 years","41-50 years","No","Yes"
"240","July",2006,"Comunidad Valenciana","Partner","65-74 years","75-84 years","No","Yes"
"241","July",2006,"Comunidad de Madrid","Ex-partner","18-20 years","21-30 years","Yes","No"
"242","July",2006,"País Vasco","Partner","21-30 years","21-30 years","No","Yes"
"243","August",2006,"Andalucía","Partner","41-50 years","31-40 years","No","Yes"
"244","August",2006,"Andalucía","Ex-partner","18-20 years","18-20 years","No","No"
"245","August",2006,"Andalucía","Partner","51-64 years","51-64 years","Yes","Yes"
"246","August",2006,"Canarias","Partner","31-40 years","31-40 years","No","Yes"
"247","August",2006,"Castilla - La Mancha","Partner","21-30 years","21-30 years","No","Yes"
"248","August",2006,"Castilla - La Mancha","Partner","21-30 years","21-30 years","Yes","Yes"
"249","August",2006,"Cataluña","Ex-partner","31-40 years","21-30 years","No","No"
"250","August",2006,"Cataluña","Partner","31-40 years","31-40 years","No","Yes"
"251","August",2006,"Cataluña","Partner","31-40 years","31-40 years","No","Yes"
"252","September",2006,"Andalucía","Partner","31-40 years","41-50 years","Yes","Yes"
"253","September",2006,"Andalucía","Partner","16-17 years","21-30 years","No","No"
"254","September",2006,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"255","September",2006,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"256","October",2006,"Andalucía","Partner","31-40 years","41-50 years","No","Yes"
"257","October",2006,"Andalucía","Partner","21-30 years","31-40 years","No","No"
"258","October",2006,"Islas Baleares","Partner","21-30 years","41-50 years","Yes","No"
"259","October",2006,"Cataluña","Partner","21-30 years","31-40 years","No","Yes"
"260","October",2006,"Comunidad Valenciana","Partner","65-74 years","75-84 years","No","Yes"
"261","October",2006,"Comunidad Valenciana","Partner","31-40 years","21-30 years","No","Yes"
"262","November",2006,"Andalucía","Ex-partner","41-50 years","41-50 years","Yes","No"
"263","November",2006,"Comunidad Valenciana","Partner","75-84 years",">85 years","No","Yes"
"264","December",2006,"Andalucía","Partner","21-30 years","18-20 years","No","Yes"
"265","December",2006,"Andalucía","Partner","41-50 years","41-50 years","Yes","Yes"
"266","December",2006,"Principado de Asturias","Partner","75-84 years",">85 years","No","Yes"
"267","December",2006,"Canarias","Partner","21-30 years","31-40 years","No","No"
"268","December",2006,"Cataluña","Partner","31-40 years","21-30 years","Yes","Yes"
"269","December",2006,"Comunidad Valenciana","Ex-partner","51-64 years","51-64 years","Yes","No"
"270","January",2007,"Islas Baleares","Partner","31-40 years","31-40 years","Yes","Yes"
"271","January",2007,"Castilla y León","Ex-partner","31-40 years","41-50 years","No","No"
"272","January",2007,"Castilla - La Mancha","Ex-partner","31-40 years","41-50 years","No","No"
"273","January",2007,"Cataluña","Ex-partner","31-40 years","41-50 years","No","No"
"274","January",2007,"Comunidad de Madrid","Partner","41-50 years","31-40 years","No","Yes"
"275","February",2007,"Andalucía","Partner","31-40 years","31-40 years","Yes","No"
"276","February",2007,"Principado de Asturias","Partner","65-74 years","65-74 years","No","Yes"
"277","February",2007,"Cataluña","Partner","51-64 years","51-64 years","No","Yes"
"278","February",2007,"Comunidad Valenciana","Ex-partner","31-40 years","31-40 years","Yes","No"
"279","February",2007,"Galicia","Partner","75-84 years","75-84 years","No","Yes"
"280","February",2007,"Galicia","Partner","21-30 years","21-30 years","No","Yes"
"281","February",2007,"Galicia","Partner","41-50 years","41-50 years","No","Yes"
"282","February",2007,"Comunidad de Madrid","Partner","21-30 years","21-30 years","No","Yes"
"283","February",2007,"Comunidad de Madrid","Partner","31-40 years","31-40 years","Yes","No"
"284","March",2007,"Cataluña","Partner","41-50 years","41-50 years","No","No"
"285","March",2007,"Comunidad Valenciana","Ex-partner","21-30 years","21-30 years","Yes","No"
"286","March",2007,"Comunidad Valenciana","Partner","31-40 years","41-50 years","Yes","Yes"
"287","March",2007,"País Vasco","Partner","65-74 years","75-84 years","No","Yes"
"288","April",2007,"Cataluña","Partner","31-40 years","41-50 years","No","Yes"
"289","April",2007,"Comunidad de Madrid","Ex-partner","21-30 years","31-40 years","Yes","No"
"290","April",2007,"Comunidad de Madrid","Partner","21-30 years","31-40 years","No","No"
"291","April",2007,"Comunidad Foral de Navarra","Partner","21-30 years","21-30 years","No","Yes"
"292","May",2007,"Andalucía","Partner","21-30 years","21-30 years","No","Yes"
"293","May",2007,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"294","May",2007,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"295","May",2007,"Canarias","Partner","21-30 years","21-30 years","No","Yes"
"296","May",2007,"Cantabria","Partner","41-50 years","31-40 years","No","Yes"
"297","May",2007,"Castilla - La Mancha","Partner","21-30 years","31-40 years","No","Yes"
"298","May",2007,"Comunidad Valenciana","Ex-partner","18-20 years","21-30 years","No","No"
"299","June",2007,"Principado de Asturias","Partner","21-30 years","31-40 years","No","No"
"300","June",2007,"Canarias","Partner","65-74 years","65-74 years","No","Yes"
"301","June",2007,"Canarias","Partner","75-84 years","65-74 years","Yes","Yes"
"302","June",2007,"Castilla - La Mancha","Ex-partner","51-64 years","51-64 years","No","No"
"303","June",2007,"Castilla - La Mancha","Partner","21-30 years","21-30 years","Yes","Yes"
"304","June",2007,"Comunidad Valenciana","Ex-partner","41-50 years","31-40 years","Yes","No"
"305","June",2007,"Comunidad Valenciana","Ex-partner","41-50 years","41-50 years","Yes","No"
"306","June",2007,"Galicia","Partner","65-74 years","65-74 years","No","Yes"
"307","June",2007,"Región de Murcia","Partner","41-50 years","31-40 years","Yes","Yes"
"308","June",2007,"País Vasco","Partner","31-40 years","41-50 years","Yes","Yes"
"309","July",2007,"Castilla y León","Partner","41-50 years","51-64 years","No","Yes"
"310","July",2007,"Castilla - La Mancha","Partner","21-30 years","31-40 years","Yes","Yes"
"311","July",2007,"Cataluña","Partner","41-50 years","51-64 years","No","Yes"
"312","July",2007,"Cataluña","Partner","75-84 years","65-74 years","No","Yes"
"313","July",2007,"Comunidad Valenciana","Partner","41-50 years","51-64 years","No","Yes"
"314","July",2007,"Comunidad de Madrid","Partner","31-40 years","31-40 years","Yes","Yes"
"315","July",2007,"Región de Murcia","Partner","31-40 years","21-30 years","Yes","Yes"
"316","July",2007,"Melilla","Partner","41-50 years","65-74 years","Yes","Yes"
"317","August",2007,"Andalucía","Partner","51-64 years","65-74 years","No","Yes"
"318","August",2007,"Canarias","Partner","51-64 years","51-64 years","No","Yes"
"319","August",2007,"Canarias","Partner","65-74 years","41-50 years","No","Yes"
"320","August",2007,"Cataluña","Partner","21-30 years","21-30 years","No","Yes"
"321","August",2007,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","Yes"
"322","August",2007,"Comunidad Valenciana","Partner","18-20 years","21-30 years","Yes","Yes"
"323","August",2007,"Comunidad de Madrid","Ex-partner","21-30 years","31-40 years","No","No"
"324","September",2007,"Aragón","Partner","51-64 years","51-64 years","No","Yes"
"325","September",2007,"Aragón","Partner","51-64 years","65-74 years","No","Yes"
"326","September",2007,"Cataluña","Partner","21-30 years","21-30 years","No","Yes"
"327","September",2007,"Cataluña","Partner","51-64 years","51-64 years","No","No"
"328","October",2007,"Andalucía","Ex-partner","31-40 years","31-40 years","No","No"
"329","October",2007,"Andalucía","Partner","21-30 years","21-30 years","No","No"
"330","October",2007,"Andalucía","Ex-partner","31-40 years","31-40 years","No","No"
"331","October",2007,"Castilla y León","Partner","51-64 years","51-64 years","No","Yes"
"332","October",2007,"Comunidad de Madrid","Partner","41-50 years","41-50 years","No","Yes"
"333","November",2007,"Canarias","Ex-partner","31-40 years","31-40 years","No","No"
"334","November",2007,"Cantabria","Partner","75-84 years","75-84 years","Yes","Yes"
"335","November",2007,"Cataluña","Partner","21-30 years","41-50 years","Yes","Yes"
"336","November",2007,"Cataluña","Partner","65-74 years","65-74 years","No","Yes"
"337","November",2007,"Cataluña","Partner","51-64 years","41-50 years","No","No"
"338","November",2007,"Comunidad Valenciana","Ex-partner","21-30 years","21-30 years","Yes","No"
"339","November",2007,"Comunidad de Madrid","Partner","21-30 years","21-30 years","No","Yes"
"340","December",2007,"Galicia","Ex-partner","41-50 years","31-40 years","No","No"
"341","January",2008,"Andalucía","Partner","41-50 years","51-64 years","No","Yes"
"342","January",2008,"Comunidad Valenciana","Partner","21-30 years","21-30 years","No","Yes"
"343","January",2008,"Galicia","Partner","51-64 years","65-74 years","No","Yes"
"344","January",2008,"Comunidad de Madrid","Partner","21-30 years","21-30 years","No","Yes"
"345","January",2008,"Comunidad de Madrid","Partner","41-50 years","31-40 years","No","Yes"
"346","January",2008,"Región de Murcia","Partner","51-64 years","51-64 years","No","Yes"
"347","January",2008,"Comunidad Foral de Navarra","Partner","18-20 years","21-30 years","No","No"
"348","February",2008,"Andalucía","Partner","41-50 years","51-64 years","Yes","No"
"349","February",2008,"Canarias","Partner","41-50 years","41-50 years","No","Yes"
"350","February",2008,"Castilla y León","Ex-partner","51-64 years","51-64 years","No","No"
"351","February",2008,"Castilla - La Mancha","Partner","41-50 years","41-50 years","Yes","Yes"
"352","February",2008,"Comunidad Valenciana","Ex-partner","41-50 years","51-64 years","Yes","No"
"353","February",2008,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","Yes"
