"","Month","Year","Autonomous.Community","Relation","Victim.Age","Agressor.Age","Previous.Abuse.Report","Living.Together"
"663","February",2013,"Aragón","Partner","31-40 years","31-40 years","No","Yes"
"664","February",2013,"Islas Baleares","Ex-partner","41-50 years","41-50 years","No","No"
"665","February",2013,"Canarias","Ex-partner","31-40 years","41-50 years","No","No"
"666","February",2013,"Castilla - La Mancha","Ex-partner","21-30 years","31-40 years","Yes","No"
"667","March",2013,"Andalucía","Partner","41-50 years","41-50 years","Yes","Yes"
"668","March",2013,"Islas Baleares","Partner","31-40 years","31-40 years","No","Yes"
"669","March",2013,"Cataluña","Ex-partner","31-40 years","31-40 years","No","No"
"670","March",2013,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","Yes"
"671","March",2013,"Comunidad Valenciana","Partner","31-40 years","41-50 years","Yes","Yes"
"672","March",2013,"Galicia","Partner","31-40 years","41-50 years","No","Yes"
"673","March",2013,"Comunidad de Madrid","Partner","31-40 years","31-40 years","No","Yes"
"674","March",2013,"Comunidad de Madrid","Partner","65-74 years","65-74 years","No","Yes"
"675","April",2013,"Andalucía","Partner","65-74 years","75-84 years","No","Yes"
"676","April",2013,"Aragón","Partner","41-50 years","51-64 years","No","Yes"
"677","April",2013,"Castilla y León","Partner","51-64 years","65-74 years","No","Yes"
"678","April",2013,"Cataluña","Partner","21-30 years","31-40 years","Yes","Yes"
"679","April",2013,"Comunidad de Madrid","Partner","31-40 years","41-50 years","No","Yes"
"680","April",2013,"Comunidad de Madrid","Partner","65-74 years","75-84 years","No","Yes"
"681","May",2013,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"682","May",2013,"Andalucía","Ex-partner","51-64 years","41-50 years","No","No"
"683","May",2013,"Cantabria","Ex-partner","21-30 years","31-40 years","Yes","No"
"684","May",2013,"Castilla y León","Partner","18-20 years","21-30 years","No","No"
"685","May",2013,"Comunidad de Madrid","Partner","31-40 years","21-30 years","No","No"
"686","May",2013,"País Vasco","Partner","21-30 years","41-50 years","No","Yes"
"687","June",2013,"Andalucía","Ex-partner","21-30 years","21-30 years","No","No"
"688","June",2013,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"689","July",2013,"Andalucía","Ex-partner","21-30 years","31-40 years","No","No"
"690","July",2013,"Canarias","Partner","31-40 years","21-30 years","No","No"
"691","August",2013,"Principado de Asturias","Partner","75-84 years",">85 years","No","Yes"
"692","August",2013,"Extremadura","Partner","65-74 years","75-84 years","Yes","No"
"693","September",2013,"Andalucía","Ex-partner","21-30 years","31-40 years","No","No"
"694","September",2013,"Castilla y León","Partner","21-30 years","21-30 years","No","Yes"
"695","September",2013,"Castilla y León","Partner","41-50 years","41-50 years","No","No"
"696","September",2013,"Castilla - La Mancha","Partner","31-40 years","31-40 years","No","Yes"
"697","September",2013,"Comunidad Valenciana","Partner","41-50 years","41-50 years","No","Yes"
"698","September",2013,"Galicia","Ex-partner","51-64 years","65-74 years","Yes","No"
"699","September",2013,"Comunidad de Madrid","Partner","31-40 years","41-50 years","No","Yes"
"700","September",2013,"Comunidad de Madrid","Partner","41-50 years","31-40 years","No","Yes"
"701","October",2013,"Andalucía","Ex-partner","21-30 years","31-40 years","No","No"
"702","October",2013,"Cataluña","Ex-partner","<16 years","18-20 years","No","No"
"703","October",2013,"Comunidad Valenciana","Partner","21-30 years","31-40 years","No","Yes"
"704","October",2013,"Comunidad Valenciana","Partner","51-64 years","51-64 years","No","Yes"
"705","October",2013,"Comunidad Valenciana","Partner","41-50 years","41-50 years","Yes","Yes"
"706","November",2013,"Andalucía","Ex-partner","31-40 years","41-50 years","Yes","No"
"707","November",2013,"Andalucía","Ex-partner","65-74 years","65-74 years","No","No"
"708","November",2013,"Castilla - La Mancha","Partner","31-40 years","41-50 years","No","Yes"
"709","November",2013,"Comunidad Valenciana","Ex-partner","21-30 years","31-40 years","No","No"
"710","November",2013,"Comunidad de Madrid","Ex-partner","41-50 years","31-40 years","Yes","No"
"711","December",2013,"Cataluña","Ex-partner","31-40 years","31-40 years","Yes","No"
"712","December",2013,"Galicia","Partner","41-50 years","31-40 years","No","Yes"
"713","January",2014,"Andalucía","Partner","41-50 years","31-40 years","No","Yes"
"714","January",2014,"Canarias","Partner","31-40 years","31-40 years","No","Yes"
"715","January",2014,"Cataluña","Partner","41-50 years","41-50 years","Yes","Yes"
"716","January",2014,"Cataluña","Partner","51-64 years","51-64 years","Yes","Yes"
"717","January",2014,"Comunidad Valenciana","Partner","51-64 years","51-64 years","Yes","Yes"
"718","January",2014,"Galicia","Partner","41-50 years","51-64 years","No","Yes"
"719","January",2014,"Comunidad de Madrid","Partner","21-30 years","18-20 years","No","No"
"720","February",2014,"Cataluña","Partner","41-50 years","41-50 years","Yes","Yes"
"721","February",2014,"Cataluña","Partner","75-84 years","75-84 years","No","Yes"
"722","February",2014,"Comunidad Valenciana","Partner","51-64 years","21-30 years","No","Yes"
"723","February",2014,"Galicia","Partner","31-40 years","41-50 years","Yes","No"
"724","February",2014,"Comunidad de Madrid","Ex-partner","41-50 years","31-40 years","No","No"
"725","March",2014,"Andalucía","Partner","75-84 years","75-84 years","No","Yes"
"726","March",2014,"Andalucía","Ex-partner","41-50 years","41-50 years","No","No"
"727","March",2014,"Islas Baleares","Partner","31-40 years","21-30 years","No","Yes"
"728","March",2014,"Castilla y León","Ex-partner","31-40 years","31-40 years","No","No"
"729","March",2014,"Cataluña","Partner","51-64 years","51-64 years","Yes","No"
"730","March",2014,"Comunidad de Madrid","Ex-partner","41-50 years","41-50 years","No","No"
"731","March",2014,"País Vasco","Ex-partner","31-40 years","31-40 years","No","No"
"732","March",2014,"Melilla","Partner","51-64 years","65-74 years","No","Yes"
"733","April",2014,"Andalucía","Partner","41-50 years","41-50 years","No","Yes"
"734","April",2014,"Cataluña","Partner","75-84 years","75-84 years","No","Yes"
"735","April",2014,"Galicia","Partner","41-50 years","41-50 years","Yes","Yes"
"736","April",2014,"Galicia","Partner","65-74 years","65-74 years","No","Yes"
"737","May",2014,"Andalucía","Partner","31-40 years","31-40 years","No","Yes"
"738","May",2014,"Comunidad de Madrid","Partner","21-30 years","31-40 years","Yes","No"
"739","June",2014,"Andalucía","Partner","51-64 years","51-64 years","No","Yes"
"740","June",2014,"Islas Baleares","Partner","41-50 years","41-50 years","No","No"
"741","June",2014,"Castilla y León","Partner","51-64 years","51-64 years","Yes","No"
